,datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
11525,350800,960,6,15,15-Jun-0960 00:00:00,279.60347533772597,280.328877912363,278.878072763089
11526,350830,960,7,15,15-Jul-0960 00:00:00,277.961797811954,277.045705418344,278.87789020556403
11527,350861,960,8,15,15-Aug-0960 00:00:00,276.357276010764,273.983223817082,278.731328204446
11528,350892,960,9,15,15-Sep-0960 00:00:00,276.31553794115104,274.07910068398104,278.551975198321
11529,350922,960,10,15,15-Oct-0960 00:00:00,277.350260575064,276.186140382001,278.514380768127
11530,350953,960,11,15,15-Nov-0960 00:00:00,278.352417287058,278.062987537898,278.64184703621896
11531,350983,960,12,15,15-Dec-0960 00:00:00,278.98705467124097,279.303236560076,278.670872782405
11532,351014,961,1,15,15-Jan-0961 00:00:00,279.4446927195,280.123912662829,278.765472776171
11533,351045,961,2,15,15-Feb-0961 00:00:00,279.82481770597303,280.77715794006,278.872477471887
11534,351073,961,3,15,15-Mar-0961 00:00:00,280.16383555920396,281.416779213766,278.910891904643
11535,351104,961,4,15,15-Apr-0961 00:00:00,280.401611631778,281.94860529633803,278.854617967218
11536,351134,961,5,15,15-May-0961 00:00:00,280.34322032445203,281.850270151129,278.836170497776
11537,351165,961,6,15,15-Jun-0961 00:00:00,279.608955719308,280.334358293945,278.883553144671
11538,351195,961,7,15,15-Jul-0961 00:00:00,277.967783396899,277.05169100328897,278.883875790509
11539,351226,961,8,15,15-Aug-0961 00:00:00,276.363805376024,273.989753182342,278.737857569706
11540,351257,961,9,15,15-Sep-0961 00:00:00,276.322640121206,274.086202864036,278.559077378376
11541,351287,961,10,15,15-Oct-0961 00:00:00,277.357956029503,276.19383583644,278.522076222566
11542,351318,961,11,15,15-Nov-0961 00:00:00,278.360717852964,278.071288103804,278.650147602125
11543,351348,961,12,15,15-Dec-0961 00:00:00,278.995963563187,279.31214545202204,278.67978167435103
11544,351379,962,1,15,15-Jan-0962 00:00:00,279.454204529552,280.133424472881,278.774984586223
11545,351410,962,2,15,15-Feb-0962 00:00:00,279.83491840369,280.787258637776,278.882578169603
11546,351438,962,3,15,15-Mar-0962 00:00:00,280.174502491633,281.427446146195,278.921558837072
11547,351469,962,4,15,15-Apr-0962 00:00:00,280.412813523463,281.959807188023,278.865819858903
11548,351499,962,5,15,15-May-0962 00:00:00,280.354917277426,281.86196710410303,278.84786745075
11549,351530,962,6,15,15-Jun-0962 00:00:00,279.621099213097,280.346501787734,278.89569663846
11550,351560,962,7,15,15-Jul-0962 00:00:00,277.98031628852,277.06422389491,278.89640868212996
11551,351591,962,8,15,15-Aug-0962 00:00:00,276.37666204597696,274.002609852295,278.75071423965903
11552,351622,962,9,15,15-Sep-0962 00:00:00,276.33575089349,274.09931363632006,278.57218815066
11553,351652,962,10,15,15-Oct-0962 00:00:00,277.37125231179,276.207132118727,278.535372504853
11554,351683,962,11,15,15-Nov-0962 00:00:00,278.374132428912,278.084702679752,278.663562178073
11555,351713,962,12,15,15-Dec-0962 00:00:00,279.009430592447,279.325612481283,278.693248703611
11556,351744,963,1,15,15-Jan-0963 00:00:00,279.467659547761,280.14687949109,278.78843960443197
